feature,modality,family,description
activity__interval_minutes__extra_std,activity,quality,activity__interval_minutes: within-person std
activity__interval_minutes__extra_mad,activity,quality,activity__interval_minutes: within-person mad
activity__interval_minutes__extra_cv,activity,quality,activity__interval_minutes: within-person cv
activity__interval_minutes__extra_weekend_delta,activity,quality,activity__interval_minutes: within-person weekend_delta
activity__steps_per_wear_hour__extra_mean,activity,physiology,activity__steps_per_wear_hour: within-person mean
activity__steps_per_wear_hour__extra_std,activity,physiology,activity__steps_per_wear_hour: within-person std
activity__steps_per_wear_hour__extra_mad,activity,physiology,activity__steps_per_wear_hour: within-person mad
activity__steps_per_wear_hour__extra_cv,activity,physiology,activity__steps_per_wear_hour: within-person cv
activity__steps_per_wear_hour__extra_weekend_delta,activity,physiology,activity__steps_per_wear_hour: within-person weekend_delta
activity__moderate_high_fraction__extra_mean,activity,physiology,activity__moderate_high_fraction: within-person mean
activity__moderate_high_fraction__extra_std,activity,physiology,activity__moderate_high_fraction: within-person std
activity__moderate_high_fraction__extra_mad,activity,physiology,activity__moderate_high_fraction: within-person mad
activity__moderate_high_fraction__extra_cv,activity,physiology,activity__moderate_high_fraction: within-person cv
activity__moderate_high_fraction__extra_weekend_delta,activity,physiology,activity__moderate_high_fraction: within-person weekend_delta
activity__inactive_fraction__extra_mean,activity,physiology,activity__inactive_fraction: within-person mean
activity__inactive_fraction__extra_std,activity,physiology,activity__inactive_fraction: within-person std
activity__inactive_fraction__extra_mad,activity,physiology,activity__inactive_fraction: within-person mad
activity__inactive_fraction__extra_cv,activity,physiology,activity__inactive_fraction: within-person cv
activity__inactive_fraction__extra_weekend_delta,activity,physiology,activity__inactive_fraction: within-person weekend_delta
activity__hour_00__mean,activity,physiology,Local hour 0: across-day MET mean
activity__hour_00__std,activity,physiology,Local hour 0: across-day MET std
activity__hour_01__mean,activity,physiology,Local hour 1: across-day MET mean
activity__hour_01__std,activity,physiology,Local hour 1: across-day MET std
activity__hour_02__mean,activity,physiology,Local hour 2: across-day MET mean
activity__hour_02__std,activity,physiology,Local hour 2: across-day MET std
activity__hour_03__mean,activity,physiology,Local hour 3: across-day MET mean
activity__hour_03__std,activity,physiology,Local hour 3: across-day MET std
activity__hour_04__mean,activity,physiology,Local hour 4: across-day MET mean
activity__hour_04__std,activity,physiology,Local hour 4: across-day MET std
activity__hour_05__mean,activity,physiology,Local hour 5: across-day MET mean
activity__hour_05__std,activity,physiology,Local hour 5: across-day MET std
activity__hour_06__mean,activity,physiology,Local hour 6: across-day MET mean
activity__hour_06__std,activity,physiology,Local hour 6: across-day MET std
activity__hour_07__mean,activity,physiology,Local hour 7: across-day MET mean
activity__hour_07__std,activity,physiology,Local hour 7: across-day MET std
activity__hour_08__mean,activity,physiology,Local hour 8: across-day MET mean
activity__hour_08__std,activity,physiology,Local hour 8: across-day MET std
activity__hour_09__mean,activity,physiology,Local hour 9: across-day MET mean
activity__hour_09__std,activity,physiology,Local hour 9: across-day MET std
activity__hour_10__mean,activity,physiology,Local hour 10: across-day MET mean
activity__hour_10__std,activity,physiology,Local hour 10: across-day MET std
activity__hour_11__mean,activity,physiology,Local hour 11: across-day MET mean
activity__hour_11__std,activity,physiology,Local hour 11: across-day MET std
activity__hour_12__mean,activity,physiology,Local hour 12: across-day MET mean
activity__hour_12__std,activity,physiology,Local hour 12: across-day MET std
activity__hour_13__mean,activity,physiology,Local hour 13: across-day MET mean
activity__hour_13__std,activity,physiology,Local hour 13: across-day MET std
activity__hour_14__mean,activity,physiology,Local hour 14: across-day MET mean
activity__hour_14__std,activity,physiology,Local hour 14: across-day MET std
activity__hour_15__mean,activity,physiology,Local hour 15: across-day MET mean
activity__hour_15__std,activity,physiology,Local hour 15: across-day MET std
activity__hour_16__mean,activity,physiology,Local hour 16: across-day MET mean
activity__hour_16__std,activity,physiology,Local hour 16: across-day MET std
activity__hour_17__mean,activity,physiology,Local hour 17: across-day MET mean
activity__hour_17__std,activity,physiology,Local hour 17: across-day MET std
activity__hour_18__mean,activity,physiology,Local hour 18: across-day MET mean
activity__hour_18__std,activity,physiology,Local hour 18: across-day MET std
activity__hour_19__mean,activity,physiology,Local hour 19: across-day MET mean
activity__hour_19__std,activity,physiology,Local hour 19: across-day MET std
activity__hour_20__mean,activity,physiology,Local hour 20: across-day MET mean
activity__hour_20__std,activity,physiology,Local hour 20: across-day MET std
activity__hour_21__mean,activity,physiology,Local hour 21: across-day MET mean
activity__hour_21__std,activity,physiology,Local hour 21: across-day MET std
activity__hour_22__mean,activity,physiology,Local hour 22: across-day MET mean
activity__hour_22__std,activity,physiology,Local hour 22: across-day MET std
activity__hour_23__mean,activity,physiology,Local hour 23: across-day MET mean
activity__hour_23__std,activity,physiology,Local hour 23: across-day MET std
sleep__awake__extra_mean,sleep,physiology,sleep__awake: within-person mean
sleep__awake__extra_std,sleep,physiology,sleep__awake: within-person std
sleep__awake__extra_mad,sleep,physiology,sleep__awake: within-person mad
sleep__awake__extra_cv,sleep,physiology,sleep__awake: within-person cv
sleep__awake__extra_weekend_delta,sleep,physiology,sleep__awake: within-person weekend_delta
sleep__breath_average__extra_mean,sleep,physiology,sleep__breath_average: within-person mean
sleep__breath_average__extra_std,sleep,physiology,sleep__breath_average: within-person std
sleep__breath_average__extra_mad,sleep,physiology,sleep__breath_average: within-person mad
sleep__breath_average__extra_cv,sleep,physiology,sleep__breath_average: within-person cv
sleep__breath_average__extra_weekend_delta,sleep,physiology,sleep__breath_average: within-person weekend_delta
sleep__deep__extra_mean,sleep,physiology,sleep__deep: within-person mean
sleep__deep__extra_std,sleep,physiology,sleep__deep: within-person std
sleep__deep__extra_mad,sleep,physiology,sleep__deep: within-person mad
sleep__deep__extra_cv,sleep,physiology,sleep__deep: within-person cv
sleep__deep__extra_weekend_delta,sleep,physiology,sleep__deep: within-person weekend_delta
sleep__duration__extra_mean,sleep,physiology,sleep__duration: within-person mean
sleep__duration__extra_std,sleep,physiology,sleep__duration: within-person std
sleep__duration__extra_mad,sleep,physiology,sleep__duration: within-person mad
sleep__duration__extra_cv,sleep,physiology,sleep__duration: within-person cv
sleep__duration__extra_weekend_delta,sleep,physiology,sleep__duration: within-person weekend_delta
sleep__efficiency__extra_mean,sleep,physiology,sleep__efficiency: within-person mean
sleep__efficiency__extra_std,sleep,physiology,sleep__efficiency: within-person std
sleep__efficiency__extra_mad,sleep,physiology,sleep__efficiency: within-person mad
sleep__efficiency__extra_cv,sleep,physiology,sleep__efficiency: within-person cv
sleep__efficiency__extra_weekend_delta,sleep,physiology,sleep__efficiency: within-person weekend_delta
sleep__hr_average__extra_mean,sleep,physiology,sleep__hr_average: within-person mean
sleep__hr_average__extra_std,sleep,physiology,sleep__hr_average: within-person std
sleep__hr_average__extra_mad,sleep,physiology,sleep__hr_average: within-person mad
sleep__hr_average__extra_cv,sleep,physiology,sleep__hr_average: within-person cv
sleep__hr_average__extra_weekend_delta,sleep,physiology,sleep__hr_average: within-person weekend_delta
sleep__hr_lowest__extra_mean,sleep,physiology,sleep__hr_lowest: within-person mean
sleep__hr_lowest__extra_std,sleep,physiology,sleep__hr_lowest: within-person std
sleep__hr_lowest__extra_mad,sleep,physiology,sleep__hr_lowest: within-person mad
sleep__hr_lowest__extra_cv,sleep,physiology,sleep__hr_lowest: within-person cv
sleep__hr_lowest__extra_weekend_delta,sleep,physiology,sleep__hr_lowest: within-person weekend_delta
sleep__light__extra_mean,sleep,physiology,sleep__light: within-person mean
sleep__light__extra_std,sleep,physiology,sleep__light: within-person std
sleep__light__extra_mad,sleep,physiology,sleep__light: within-person mad
sleep__light__extra_cv,sleep,physiology,sleep__light: within-person cv
sleep__light__extra_weekend_delta,sleep,physiology,sleep__light: within-person weekend_delta
sleep__onset_latency__extra_mean,sleep,physiology,sleep__onset_latency: within-person mean
sleep__onset_latency__extra_std,sleep,physiology,sleep__onset_latency: within-person std
sleep__onset_latency__extra_mad,sleep,physiology,sleep__onset_latency: within-person mad
sleep__onset_latency__extra_cv,sleep,physiology,sleep__onset_latency: within-person cv
sleep__onset_latency__extra_weekend_delta,sleep,physiology,sleep__onset_latency: within-person weekend_delta
sleep__rem__extra_mean,sleep,physiology,sleep__rem: within-person mean
sleep__rem__extra_std,sleep,physiology,sleep__rem: within-person std
sleep__rem__extra_mad,sleep,physiology,sleep__rem: within-person mad
sleep__rem__extra_cv,sleep,physiology,sleep__rem: within-person cv
sleep__rem__extra_weekend_delta,sleep,physiology,sleep__rem: within-person weekend_delta
sleep__restless__extra_mean,sleep,physiology,sleep__restless: within-person mean
sleep__restless__extra_std,sleep,physiology,sleep__restless: within-person std
sleep__restless__extra_mad,sleep,physiology,sleep__restless: within-person mad
sleep__restless__extra_cv,sleep,physiology,sleep__restless: within-person cv
sleep__restless__extra_weekend_delta,sleep,physiology,sleep__restless: within-person weekend_delta
sleep__rmssd__extra_mean,sleep,physiology,sleep__rmssd: within-person mean
sleep__rmssd__extra_std,sleep,physiology,sleep__rmssd: within-person std
sleep__rmssd__extra_mad,sleep,physiology,sleep__rmssd: within-person mad
sleep__rmssd__extra_cv,sleep,physiology,sleep__rmssd: within-person cv
sleep__rmssd__extra_weekend_delta,sleep,physiology,sleep__rmssd: within-person weekend_delta
sleep__score__extra_mean,sleep,vendor,sleep__score: within-person mean
sleep__score__extra_std,sleep,vendor,sleep__score: within-person std
sleep__score__extra_mad,sleep,vendor,sleep__score: within-person mad
sleep__score__extra_cv,sleep,vendor,sleep__score: within-person cv
sleep__score__extra_weekend_delta,sleep,vendor,sleep__score: within-person weekend_delta
sleep__score_alignment__extra_mean,sleep,vendor,sleep__score_alignment: within-person mean
sleep__score_alignment__extra_std,sleep,vendor,sleep__score_alignment: within-person std
sleep__score_alignment__extra_mad,sleep,vendor,sleep__score_alignment: within-person mad
sleep__score_alignment__extra_cv,sleep,vendor,sleep__score_alignment: within-person cv
sleep__score_alignment__extra_weekend_delta,sleep,vendor,sleep__score_alignment: within-person weekend_delta
sleep__score_deep__extra_mean,sleep,vendor,sleep__score_deep: within-person mean
sleep__score_deep__extra_std,sleep,vendor,sleep__score_deep: within-person std
sleep__score_deep__extra_mad,sleep,vendor,sleep__score_deep: within-person mad
sleep__score_deep__extra_cv,sleep,vendor,sleep__score_deep: within-person cv
sleep__score_deep__extra_weekend_delta,sleep,vendor,sleep__score_deep: within-person weekend_delta
sleep__score_disturbances__extra_mean,sleep,vendor,sleep__score_disturbances: within-person mean
sleep__score_disturbances__extra_std,sleep,vendor,sleep__score_disturbances: within-person std
sleep__score_disturbances__extra_mad,sleep,vendor,sleep__score_disturbances: within-person mad
sleep__score_disturbances__extra_cv,sleep,vendor,sleep__score_disturbances: within-person cv
sleep__score_disturbances__extra_weekend_delta,sleep,vendor,sleep__score_disturbances: within-person weekend_delta
sleep__score_efficiency__extra_mean,sleep,vendor,sleep__score_efficiency: within-person mean
sleep__score_efficiency__extra_std,sleep,vendor,sleep__score_efficiency: within-person std
sleep__score_efficiency__extra_mad,sleep,vendor,sleep__score_efficiency: within-person mad
sleep__score_efficiency__extra_cv,sleep,vendor,sleep__score_efficiency: within-person cv
sleep__score_efficiency__extra_weekend_delta,sleep,vendor,sleep__score_efficiency: within-person weekend_delta
sleep__score_latency__extra_mean,sleep,vendor,sleep__score_latency: within-person mean
sleep__score_latency__extra_std,sleep,vendor,sleep__score_latency: within-person std
sleep__score_latency__extra_mad,sleep,vendor,sleep__score_latency: within-person mad
sleep__score_latency__extra_cv,sleep,vendor,sleep__score_latency: within-person cv
sleep__score_latency__extra_weekend_delta,sleep,vendor,sleep__score_latency: within-person weekend_delta
sleep__score_rem__extra_mean,sleep,vendor,sleep__score_rem: within-person mean
sleep__score_rem__extra_std,sleep,vendor,sleep__score_rem: within-person std
sleep__score_rem__extra_mad,sleep,vendor,sleep__score_rem: within-person mad
sleep__score_rem__extra_cv,sleep,vendor,sleep__score_rem: within-person cv
sleep__score_rem__extra_weekend_delta,sleep,vendor,sleep__score_rem: within-person weekend_delta
sleep__score_total__extra_mean,sleep,vendor,sleep__score_total: within-person mean
sleep__score_total__extra_std,sleep,vendor,sleep__score_total: within-person std
sleep__score_total__extra_mad,sleep,vendor,sleep__score_total: within-person mad
sleep__score_total__extra_cv,sleep,vendor,sleep__score_total: within-person cv
sleep__score_total__extra_weekend_delta,sleep,vendor,sleep__score_total: within-person weekend_delta
sleep__temperature_delta__extra_mean,sleep,physiology,sleep__temperature_delta: within-person mean
sleep__temperature_delta__extra_std,sleep,physiology,sleep__temperature_delta: within-person std
sleep__temperature_delta__extra_mad,sleep,physiology,sleep__temperature_delta: within-person mad
sleep__temperature_delta__extra_cv,sleep,physiology,sleep__temperature_delta: within-person cv
sleep__temperature_delta__extra_weekend_delta,sleep,physiology,sleep__temperature_delta: within-person weekend_delta
sleep__temperature_deviation__extra_mean,sleep,physiology,sleep__temperature_deviation: within-person mean
sleep__temperature_deviation__extra_std,sleep,physiology,sleep__temperature_deviation: within-person std
sleep__temperature_deviation__extra_mad,sleep,physiology,sleep__temperature_deviation: within-person mad
sleep__temperature_deviation__extra_cv,sleep,physiology,sleep__temperature_deviation: within-person cv
sleep__temperature_deviation__extra_weekend_delta,sleep,physiology,sleep__temperature_deviation: within-person weekend_delta
sleep__total__extra_mean,sleep,physiology,sleep__total: within-person mean
sleep__total__extra_std,sleep,physiology,sleep__total: within-person std
sleep__total__extra_mad,sleep,physiology,sleep__total: within-person mad
sleep__total__extra_cv,sleep,physiology,sleep__total: within-person cv
sleep__total__extra_weekend_delta,sleep,physiology,sleep__total: within-person weekend_delta
sleep__hr_mean__extra_mean,sleep,physiology,sleep__hr_mean: within-person mean
sleep__hr_mean__extra_std,sleep,physiology,sleep__hr_mean: within-person std
sleep__hr_mean__extra_mad,sleep,physiology,sleep__hr_mean: within-person mad
sleep__hr_mean__extra_cv,sleep,physiology,sleep__hr_mean: within-person cv
sleep__hr_mean__extra_weekend_delta,sleep,physiology,sleep__hr_mean: within-person weekend_delta
sleep__hr_std__extra_mean,sleep,physiology,sleep__hr_std: within-person mean
sleep__hr_std__extra_std,sleep,physiology,sleep__hr_std: within-person std
sleep__hr_std__extra_mad,sleep,physiology,sleep__hr_std: within-person mad
sleep__hr_std__extra_cv,sleep,physiology,sleep__hr_std: within-person cv
sleep__hr_std__extra_weekend_delta,sleep,physiology,sleep__hr_std: within-person weekend_delta
sleep__hr_p10__extra_mean,sleep,physiology,sleep__hr_p10: within-person mean
sleep__hr_p10__extra_std,sleep,physiology,sleep__hr_p10: within-person std
sleep__hr_p10__extra_mad,sleep,physiology,sleep__hr_p10: within-person mad
sleep__hr_p10__extra_cv,sleep,physiology,sleep__hr_p10: within-person cv
sleep__hr_p10__extra_weekend_delta,sleep,physiology,sleep__hr_p10: within-person weekend_delta
sleep__hr_p90__extra_mean,sleep,physiology,sleep__hr_p90: within-person mean
sleep__hr_p90__extra_std,sleep,physiology,sleep__hr_p90: within-person std
sleep__hr_p90__extra_mad,sleep,physiology,sleep__hr_p90: within-person mad
sleep__hr_p90__extra_cv,sleep,physiology,sleep__hr_p90: within-person cv
sleep__hr_p90__extra_weekend_delta,sleep,physiology,sleep__hr_p90: within-person weekend_delta
sleep__hr_rmssd_adjacent__extra_mean,sleep,physiology,sleep__hr_rmssd_adjacent: within-person mean
sleep__hr_rmssd_adjacent__extra_std,sleep,physiology,sleep__hr_rmssd_adjacent: within-person std
sleep__hr_rmssd_adjacent__extra_mad,sleep,physiology,sleep__hr_rmssd_adjacent: within-person mad
sleep__hr_rmssd_adjacent__extra_cv,sleep,physiology,sleep__hr_rmssd_adjacent: within-person cv
sleep__hr_rmssd_adjacent__extra_weekend_delta,sleep,physiology,sleep__hr_rmssd_adjacent: within-person weekend_delta
sleep__hr_lag1__extra_mean,sleep,physiology,sleep__hr_lag1: within-person mean
sleep__hr_lag1__extra_std,sleep,physiology,sleep__hr_lag1: within-person std
sleep__hr_lag1__extra_mad,sleep,physiology,sleep__hr_lag1: within-person mad
sleep__hr_lag1__extra_cv,sleep,physiology,sleep__hr_lag1: within-person cv
sleep__hr_lag1__extra_weekend_delta,sleep,physiology,sleep__hr_lag1: within-person weekend_delta
sleep__hr_last_first_third__extra_mean,sleep,physiology,sleep__hr_last_first_third: within-person mean
sleep__hr_last_first_third__extra_std,sleep,physiology,sleep__hr_last_first_third: within-person std
sleep__hr_last_first_third__extra_mad,sleep,physiology,sleep__hr_last_first_third: within-person mad
sleep__hr_last_first_third__extra_cv,sleep,physiology,sleep__hr_last_first_third: within-person cv
sleep__hr_last_first_third__extra_weekend_delta,sleep,physiology,sleep__hr_last_first_third: within-person weekend_delta
sleep__hr_valid_fraction__extra_mean,sleep,quality,sleep__hr_valid_fraction: within-person mean
sleep__hr_valid_fraction__extra_std,sleep,quality,sleep__hr_valid_fraction: within-person std
sleep__hr_valid_fraction__extra_mad,sleep,quality,sleep__hr_valid_fraction: within-person mad
sleep__hr_valid_fraction__extra_cv,sleep,quality,sleep__hr_valid_fraction: within-person cv
sleep__hr_valid_fraction__extra_weekend_delta,sleep,quality,sleep__hr_valid_fraction: within-person weekend_delta
sleep__hr_length__extra_mean,sleep,quality,sleep__hr_length: within-person mean
sleep__hr_length__extra_std,sleep,quality,sleep__hr_length: within-person std
sleep__hr_length__extra_mad,sleep,quality,sleep__hr_length: within-person mad
sleep__hr_length__extra_cv,sleep,quality,sleep__hr_length: within-person cv
sleep__hr_length__extra_weekend_delta,sleep,quality,sleep__hr_length: within-person weekend_delta
sleep__state_code_1_fraction__extra_mean,sleep,physiology,sleep__state_code_1_fraction: within-person mean
sleep__state_code_1_fraction__extra_std,sleep,physiology,sleep__state_code_1_fraction: within-person std
sleep__state_code_1_fraction__extra_mad,sleep,physiology,sleep__state_code_1_fraction: within-person mad
sleep__state_code_1_fraction__extra_cv,sleep,physiology,sleep__state_code_1_fraction: within-person cv
sleep__state_code_1_fraction__extra_weekend_delta,sleep,physiology,sleep__state_code_1_fraction: within-person weekend_delta
sleep__state_code_1_longest_minutes__extra_mean,sleep,physiology,sleep__state_code_1_longest_minutes: within-person mean
sleep__state_code_1_longest_minutes__extra_std,sleep,physiology,sleep__state_code_1_longest_minutes: within-person std
sleep__state_code_1_longest_minutes__extra_mad,sleep,physiology,sleep__state_code_1_longest_minutes: within-person mad
sleep__state_code_1_longest_minutes__extra_cv,sleep,physiology,sleep__state_code_1_longest_minutes: within-person cv
sleep__state_code_1_longest_minutes__extra_weekend_delta,sleep,physiology,sleep__state_code_1_longest_minutes: within-person weekend_delta
sleep__state_code_2_fraction__extra_mean,sleep,physiology,sleep__state_code_2_fraction: within-person mean
sleep__state_code_2_fraction__extra_std,sleep,physiology,sleep__state_code_2_fraction: within-person std
sleep__state_code_2_fraction__extra_mad,sleep,physiology,sleep__state_code_2_fraction: within-person mad
sleep__state_code_2_fraction__extra_cv,sleep,physiology,sleep__state_code_2_fraction: within-person cv
sleep__state_code_2_fraction__extra_weekend_delta,sleep,physiology,sleep__state_code_2_fraction: within-person weekend_delta
sleep__state_code_2_longest_minutes__extra_mean,sleep,physiology,sleep__state_code_2_longest_minutes: within-person mean
sleep__state_code_2_longest_minutes__extra_std,sleep,physiology,sleep__state_code_2_longest_minutes: within-person std
sleep__state_code_2_longest_minutes__extra_mad,sleep,physiology,sleep__state_code_2_longest_minutes: within-person mad
sleep__state_code_2_longest_minutes__extra_cv,sleep,physiology,sleep__state_code_2_longest_minutes: within-person cv
sleep__state_code_2_longest_minutes__extra_weekend_delta,sleep,physiology,sleep__state_code_2_longest_minutes: within-person weekend_delta
sleep__state_code_3_fraction__extra_mean,sleep,physiology,sleep__state_code_3_fraction: within-person mean
sleep__state_code_3_fraction__extra_std,sleep,physiology,sleep__state_code_3_fraction: within-person std
sleep__state_code_3_fraction__extra_mad,sleep,physiology,sleep__state_code_3_fraction: within-person mad
sleep__state_code_3_fraction__extra_cv,sleep,physiology,sleep__state_code_3_fraction: within-person cv
sleep__state_code_3_fraction__extra_weekend_delta,sleep,physiology,sleep__state_code_3_fraction: within-person weekend_delta
sleep__state_code_3_longest_minutes__extra_mean,sleep,physiology,sleep__state_code_3_longest_minutes: within-person mean
sleep__state_code_3_longest_minutes__extra_std,sleep,physiology,sleep__state_code_3_longest_minutes: within-person std
sleep__state_code_3_longest_minutes__extra_mad,sleep,physiology,sleep__state_code_3_longest_minutes: within-person mad
sleep__state_code_3_longest_minutes__extra_cv,sleep,physiology,sleep__state_code_3_longest_minutes: within-person cv
sleep__state_code_3_longest_minutes__extra_weekend_delta,sleep,physiology,sleep__state_code_3_longest_minutes: within-person weekend_delta
sleep__state_code_4_fraction__extra_mean,sleep,physiology,sleep__state_code_4_fraction: within-person mean
sleep__state_code_4_fraction__extra_std,sleep,physiology,sleep__state_code_4_fraction: within-person std
sleep__state_code_4_fraction__extra_mad,sleep,physiology,sleep__state_code_4_fraction: within-person mad
sleep__state_code_4_fraction__extra_cv,sleep,physiology,sleep__state_code_4_fraction: within-person cv
sleep__state_code_4_fraction__extra_weekend_delta,sleep,physiology,sleep__state_code_4_fraction: within-person weekend_delta
sleep__state_code_4_longest_minutes__extra_mean,sleep,physiology,sleep__state_code_4_longest_minutes: within-person mean
sleep__state_code_4_longest_minutes__extra_std,sleep,physiology,sleep__state_code_4_longest_minutes: within-person std
sleep__state_code_4_longest_minutes__extra_mad,sleep,physiology,sleep__state_code_4_longest_minutes: within-person mad
sleep__state_code_4_longest_minutes__extra_cv,sleep,physiology,sleep__state_code_4_longest_minutes: within-person cv
sleep__state_code_4_longest_minutes__extra_weekend_delta,sleep,physiology,sleep__state_code_4_longest_minutes: within-person weekend_delta
sleep__state_entropy__extra_mean,sleep,physiology,sleep__state_entropy: within-person mean
sleep__state_entropy__extra_std,sleep,physiology,sleep__state_entropy: within-person std
sleep__state_entropy__extra_mad,sleep,physiology,sleep__state_entropy: within-person mad
sleep__state_entropy__extra_cv,sleep,physiology,sleep__state_entropy: within-person cv
sleep__state_entropy__extra_weekend_delta,sleep,physiology,sleep__state_entropy: within-person weekend_delta
sleep__state_transition_rate__extra_mean,sleep,physiology,sleep__state_transition_rate: within-person mean
sleep__state_transition_rate__extra_std,sleep,physiology,sleep__state_transition_rate: within-person std
sleep__state_transition_rate__extra_mad,sleep,physiology,sleep__state_transition_rate: within-person mad
sleep__state_transition_rate__extra_cv,sleep,physiology,sleep__state_transition_rate: within-person cv
sleep__state_transition_rate__extra_weekend_delta,sleep,physiology,sleep__state_transition_rate: within-person weekend_delta
sleep__state_valid_fraction__extra_mean,sleep,quality,sleep__state_valid_fraction: within-person mean
sleep__state_valid_fraction__extra_std,sleep,quality,sleep__state_valid_fraction: within-person std
sleep__state_valid_fraction__extra_mad,sleep,quality,sleep__state_valid_fraction: within-person mad
sleep__state_valid_fraction__extra_cv,sleep,quality,sleep__state_valid_fraction: within-person cv
sleep__state_valid_fraction__extra_weekend_delta,sleep,quality,sleep__state_valid_fraction: within-person weekend_delta
sleep__state_length__extra_mean,sleep,quality,sleep__state_length: within-person mean
sleep__state_length__extra_std,sleep,quality,sleep__state_length: within-person std
sleep__state_length__extra_mad,sleep,quality,sleep__state_length: within-person mad
sleep__state_length__extra_cv,sleep,quality,sleep__state_length: within-person cv
sleep__state_length__extra_weekend_delta,sleep,quality,sleep__state_length: within-person weekend_delta
sleep__hrv_mean__extra_mean,sleep,physiology,sleep__hrv_mean: within-person mean
sleep__hrv_mean__extra_std,sleep,physiology,sleep__hrv_mean: within-person std
sleep__hrv_mean__extra_mad,sleep,physiology,sleep__hrv_mean: within-person mad
sleep__hrv_mean__extra_cv,sleep,physiology,sleep__hrv_mean: within-person cv
sleep__hrv_mean__extra_weekend_delta,sleep,physiology,sleep__hrv_mean: within-person weekend_delta
sleep__hrv_std__extra_mean,sleep,physiology,sleep__hrv_std: within-person mean
sleep__hrv_std__extra_std,sleep,physiology,sleep__hrv_std: within-person std
sleep__hrv_std__extra_mad,sleep,physiology,sleep__hrv_std: within-person mad
sleep__hrv_std__extra_cv,sleep,physiology,sleep__hrv_std: within-person cv
sleep__hrv_std__extra_weekend_delta,sleep,physiology,sleep__hrv_std: within-person weekend_delta
sleep__hrv_p10__extra_mean,sleep,physiology,sleep__hrv_p10: within-person mean
sleep__hrv_p10__extra_std,sleep,physiology,sleep__hrv_p10: within-person std
sleep__hrv_p10__extra_mad,sleep,physiology,sleep__hrv_p10: within-person mad
sleep__hrv_p10__extra_cv,sleep,physiology,sleep__hrv_p10: within-person cv
sleep__hrv_p10__extra_weekend_delta,sleep,physiology,sleep__hrv_p10: within-person weekend_delta
sleep__hrv_p90__extra_mean,sleep,physiology,sleep__hrv_p90: within-person mean
sleep__hrv_p90__extra_std,sleep,physiology,sleep__hrv_p90: within-person std
sleep__hrv_p90__extra_mad,sleep,physiology,sleep__hrv_p90: within-person mad
sleep__hrv_p90__extra_cv,sleep,physiology,sleep__hrv_p90: within-person cv
sleep__hrv_p90__extra_weekend_delta,sleep,physiology,sleep__hrv_p90: within-person weekend_delta
sleep__hrv_rmssd_adjacent__extra_mean,sleep,physiology,sleep__hrv_rmssd_adjacent: within-person mean
sleep__hrv_rmssd_adjacent__extra_std,sleep,physiology,sleep__hrv_rmssd_adjacent: within-person std
sleep__hrv_rmssd_adjacent__extra_mad,sleep,physiology,sleep__hrv_rmssd_adjacent: within-person mad
sleep__hrv_rmssd_adjacent__extra_cv,sleep,physiology,sleep__hrv_rmssd_adjacent: within-person cv
sleep__hrv_rmssd_adjacent__extra_weekend_delta,sleep,physiology,sleep__hrv_rmssd_adjacent: within-person weekend_delta
sleep__hrv_lag1__extra_mean,sleep,physiology,sleep__hrv_lag1: within-person mean
sleep__hrv_lag1__extra_std,sleep,physiology,sleep__hrv_lag1: within-person std
sleep__hrv_lag1__extra_mad,sleep,physiology,sleep__hrv_lag1: within-person mad
sleep__hrv_lag1__extra_cv,sleep,physiology,sleep__hrv_lag1: within-person cv
sleep__hrv_lag1__extra_weekend_delta,sleep,physiology,sleep__hrv_lag1: within-person weekend_delta
sleep__hrv_last_first_third__extra_mean,sleep,physiology,sleep__hrv_last_first_third: within-person mean
sleep__hrv_last_first_third__extra_std,sleep,physiology,sleep__hrv_last_first_third: within-person std
sleep__hrv_last_first_third__extra_mad,sleep,physiology,sleep__hrv_last_first_third: within-person mad
sleep__hrv_last_first_third__extra_cv,sleep,physiology,sleep__hrv_last_first_third: within-person cv
sleep__hrv_last_first_third__extra_weekend_delta,sleep,physiology,sleep__hrv_last_first_third: within-person weekend_delta
sleep__hrv_valid_fraction__extra_mean,sleep,quality,sleep__hrv_valid_fraction: within-person mean
sleep__hrv_valid_fraction__extra_std,sleep,quality,sleep__hrv_valid_fraction: within-person std
sleep__hrv_valid_fraction__extra_mad,sleep,quality,sleep__hrv_valid_fraction: within-person mad
sleep__hrv_valid_fraction__extra_cv,sleep,quality,sleep__hrv_valid_fraction: within-person cv
sleep__hrv_valid_fraction__extra_weekend_delta,sleep,quality,sleep__hrv_valid_fraction: within-person weekend_delta
sleep__hrv_length__extra_mean,sleep,quality,sleep__hrv_length: within-person mean
sleep__hrv_length__extra_std,sleep,quality,sleep__hrv_length: within-person std
sleep__hrv_length__extra_mad,sleep,quality,sleep__hrv_length: within-person mad
sleep__hrv_length__extra_cv,sleep,quality,sleep__hrv_length: within-person cv
sleep__hrv_length__extra_weekend_delta,sleep,quality,sleep__hrv_length: within-person weekend_delta
sleep__deep_fraction__extra_mean,sleep,physiology,sleep__deep_fraction: within-person mean
sleep__deep_fraction__extra_std,sleep,physiology,sleep__deep_fraction: within-person std
sleep__deep_fraction__extra_mad,sleep,physiology,sleep__deep_fraction: within-person mad
sleep__deep_fraction__extra_cv,sleep,physiology,sleep__deep_fraction: within-person cv
