feature,modality,family,description,kind
v3__activity__average_met__moving_range,activity,physiology,activity__average_met: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__average_met__lag1,activity,physiology,activity__average_met: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__average_met__trend,activity,physiology,activity__average_met: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__average_met__bin_variance4,activity,physiology,activity__average_met: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__average_met__bin_change4,activity,physiology,activity__average_met: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__average_met__stv7,activity,physiology,activity__average_met: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__average_met__rolling_cv7,activity,physiology,activity__average_met: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__average_met__rolling_range7,activity,physiology,activity__average_met: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__average_met__stv14,activity,physiology,activity__average_met: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__average_met__rolling_cv14,activity,physiology,activity__average_met: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__average_met__rolling_range14,activity,physiology,activity__average_met: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__average_met__stv28,activity,physiology,activity__average_met: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__average_met__rolling_cv28,activity,physiology,activity__average_met: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__average_met__rolling_range28,activity,physiology,activity__average_met: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__cal_active__mean,activity,physiology,activity__cal_active: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__cal_active__std,activity,physiology,activity__cal_active: within-person std; calendar windows where applicable,temporal_v3
v3__activity__cal_active__median,activity,physiology,activity__cal_active: within-person median; calendar windows where applicable,temporal_v3
v3__activity__cal_active__trimmed_mean,activity,physiology,activity__cal_active: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__cal_active__mode,activity,physiology,activity__cal_active: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__cal_active__minimum,activity,physiology,activity__cal_active: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__cal_active__maximum,activity,physiology,activity__cal_active: within-person maximum; calendar windows where applicable,temporal_v3
v3__activity__cal_active__range,activity,physiology,activity__cal_active: within-person range; calendar windows where applicable,temporal_v3
v3__activity__cal_active__mad,activity,physiology,activity__cal_active: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__cal_active__cv,activity,physiology,activity__cal_active: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__cal_active__skew,activity,physiology,activity__cal_active: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__cal_active__kurtosis,activity,physiology,activity__cal_active: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__cal_active__q05,activity,physiology,activity__cal_active: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__cal_active__q95,activity,physiology,activity__cal_active: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__cal_active__rmssd,activity,physiology,activity__cal_active: within-person rmssd; calendar windows where applicable,temporal_v3
v3__activity__cal_active__moving_range,activity,physiology,activity__cal_active: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__cal_active__lag1,activity,physiology,activity__cal_active: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__cal_active__trend,activity,physiology,activity__cal_active: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__cal_active__bin_variance4,activity,physiology,activity__cal_active: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__cal_active__bin_change4,activity,physiology,activity__cal_active: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__cal_active__stv7,activity,physiology,activity__cal_active: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__cal_active__rolling_cv7,activity,physiology,activity__cal_active: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__cal_active__rolling_range7,activity,physiology,activity__cal_active: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__cal_active__stv14,activity,physiology,activity__cal_active: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__cal_active__rolling_cv14,activity,physiology,activity__cal_active: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__cal_active__rolling_range14,activity,physiology,activity__cal_active: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__cal_active__stv28,activity,physiology,activity__cal_active: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__cal_active__rolling_cv28,activity,physiology,activity__cal_active: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__cal_active__rolling_range28,activity,physiology,activity__cal_active: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__cal_total__mean,activity,physiology,activity__cal_total: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__cal_total__std,activity,physiology,activity__cal_total: within-person std; calendar windows where applicable,temporal_v3
v3__activity__cal_total__median,activity,physiology,activity__cal_total: within-person median; calendar windows where applicable,temporal_v3
v3__activity__cal_total__trimmed_mean,activity,physiology,activity__cal_total: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__cal_total__mode,activity,physiology,activity__cal_total: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__cal_total__minimum,activity,physiology,activity__cal_total: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__cal_total__maximum,activity,physiology,activity__cal_total: within-person maximum; calendar windows where applicable,temporal_v3
v3__activity__cal_total__range,activity,physiology,activity__cal_total: within-person range; calendar windows where applicable,temporal_v3
v3__activity__cal_total__mad,activity,physiology,activity__cal_total: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__cal_total__cv,activity,physiology,activity__cal_total: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__cal_total__skew,activity,physiology,activity__cal_total: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__cal_total__kurtosis,activity,physiology,activity__cal_total: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__cal_total__q05,activity,physiology,activity__cal_total: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__cal_total__q95,activity,physiology,activity__cal_total: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__cal_total__rmssd,activity,physiology,activity__cal_total: within-person rmssd; calendar windows where applicable,temporal_v3
v3__activity__cal_total__moving_range,activity,physiology,activity__cal_total: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__cal_total__lag1,activity,physiology,activity__cal_total: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__cal_total__trend,activity,physiology,activity__cal_total: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__cal_total__bin_variance4,activity,physiology,activity__cal_total: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__cal_total__bin_change4,activity,physiology,activity__cal_total: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__cal_total__stv7,activity,physiology,activity__cal_total: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__cal_total__rolling_cv7,activity,physiology,activity__cal_total: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__cal_total__rolling_range7,activity,physiology,activity__cal_total: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__cal_total__stv14,activity,physiology,activity__cal_total: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__cal_total__rolling_cv14,activity,physiology,activity__cal_total: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__cal_total__rolling_range14,activity,physiology,activity__cal_total: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__cal_total__stv28,activity,physiology,activity__cal_total: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__cal_total__rolling_cv28,activity,physiology,activity__cal_total: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__cal_total__rolling_range28,activity,physiology,activity__cal_total: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__mean,activity,physiology,activity__daily_movement: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__std,activity,physiology,activity__daily_movement: within-person std; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__median,activity,physiology,activity__daily_movement: within-person median; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__trimmed_mean,activity,physiology,activity__daily_movement: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__mode,activity,physiology,activity__daily_movement: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__minimum,activity,physiology,activity__daily_movement: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__maximum,activity,physiology,activity__daily_movement: within-person maximum; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__range,activity,physiology,activity__daily_movement: within-person range; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__mad,activity,physiology,activity__daily_movement: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__cv,activity,physiology,activity__daily_movement: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__skew,activity,physiology,activity__daily_movement: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__kurtosis,activity,physiology,activity__daily_movement: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__q05,activity,physiology,activity__daily_movement: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__q95,activity,physiology,activity__daily_movement: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__rmssd,activity,physiology,activity__daily_movement: within-person rmssd; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__moving_range,activity,physiology,activity__daily_movement: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__lag1,activity,physiology,activity__daily_movement: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__trend,activity,physiology,activity__daily_movement: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__bin_variance4,activity,physiology,activity__daily_movement: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__bin_change4,activity,physiology,activity__daily_movement: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__stv7,activity,physiology,activity__daily_movement: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__rolling_cv7,activity,physiology,activity__daily_movement: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__rolling_range7,activity,physiology,activity__daily_movement: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__stv14,activity,physiology,activity__daily_movement: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__rolling_cv14,activity,physiology,activity__daily_movement: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__rolling_range14,activity,physiology,activity__daily_movement: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__stv28,activity,physiology,activity__daily_movement: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__rolling_cv28,activity,physiology,activity__daily_movement: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__daily_movement__rolling_range28,activity,physiology,activity__daily_movement: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__high__mean,activity,physiology,activity__high: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__high__std,activity,physiology,activity__high: within-person std; calendar windows where applicable,temporal_v3
v3__activity__high__median,activity,physiology,activity__high: within-person median; calendar windows where applicable,temporal_v3
v3__activity__high__trimmed_mean,activity,physiology,activity__high: within-person trimmed_mean; calendar windows where applicable,temporal_v3
